Befragten_ID;Reputation AG;Image Ges;Lernplätze-Gruppenräume;Mensa_Cafeteria;Modernen_Gebäude;Technische_Austatt;Begegnungsräume;Modul_Wahlmöglichkeiten ;Spezialisierungsmöglichkeiten ;Hochschul_Lern_Lehrklima?;Interaktion_Dozierenden;inter_didaktisch_Unterricht;Lernerfolg;Wissen_anwenden;Unterrichtsmodule_Englisch ;Austauschsemester;Double_Degree;Incoming_Students_Kontakt;Internat_Exkursionen;Standort_Allg;Nähe_Wohnort;Social Media;Werbung ;Anwesenheit_Freunde;Empfehlung_Freunde_Family;Empfehlung_Beruf;Empfehlung_Studierenden_Absolventen
207;4;4;4;4;4;6;4;5;6;4;4;4;4;7;4;4;4;4;4;6;6;4;4;6;7;4;6
208;7;6;7;7;7;7;7;7;7;7;7;7;7;7;4;4;4;4;4;7;7;5;4;4;7;6;7
209;6;7;7;7;7;7;7;6;6;7;4;7;7;5;2;2;2;2;2;7;3;6;3;7;4;6;6
210;1;1;1;1;1;5;1;2;2;1;1;1;6;6;1;1;1;1;1;5;7;1;1;2;5;1;5
211;3;3;1;1;1;1;1;1;4;1;1;1;6;4;1;1;1;1;1;7;5;4;2;1;6;1;3
212;7;7;5;2;5;5;5;7;7;6;7;7;7;7;3;5;1;1;5;7;7;2;3;1;6;6;6
213;6;5;4;4;4;4;4;5;5;5;7;5;5;7;3;1;1;1;2;7;7;3;2;2;3;3;5
214;6;6;6;4;4;4;6;5;6;6;6;7;7;7;5;4;3;5;5;6;6;1;1;4;5;5;7
215;4;4;5;5;5;4;1;6;6;5;3;5;5;4;1;1;1;1;1;7;6;1;1;2;2;5;5
216;3;4;4;4;5;4;4;6;6;4;5;6;4;5;7;6;3;3;4;7;7;3;2;4;3;3;2
217;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;7;6;5;5;4;6;6;6
218;6;6;6;4;6;6;5;5;5;4;4;5;6;5;6;5;4;5;4;5;3;5;3;6;6;4;5
219;5;5;4;4;4;4;4;6;6;5;5;5;6;5;4;4;4;4;4;6;5;4;4;4;5;5;5
220;4;6;5;3;6;7;7;5;6;6;7;6;7;6;5;4;4;6;6;7;7;4;5;6;5;6;5
221;5;3;3;3;4;5;3;6;6;5;5;7;6;5;5;4;3;3;3;6;6;4;5;5;5;5;5
